papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
SEBB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.23,0.0924,0.07400000000000001,0.2415,0.23010000000000003,2.44,0.0,145783000.0,0.01,0.5004,Diversos,0,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A ON N2,1899-12-30
SEDU3,23.8,-13.36,15.0,3.443,0.0,1.531,57.9,-22.47,-2.67,-28.68,-69.64,-0.1533,-0.25730000000000003,-0.0815,-1.1229,1.09,0.0,415869000.0,4.67,0.10869999999999999,,6238670000,SOMOS EDUCA ON,2019-05-20
SEER3,6.15,2807.24,0.64,0.42,0.0,0.225,3.95,2.97,-0.59,5.27,2.88,0.1414,0.0001,0.08449999999999999,0.0002,1.27,2667790.0,1240840000.0,0.75,0.11259999999999999,Diversos,791640000,SER EDUCA ON NM,2024-08-21
SEMP3,16.86,-8.12,1.36,15.081,0.0,1.201,15.67,-4.42,15.67,-4.07,-4.07,-3.4098,-1.8581999999999999,-0.30210000000000004,-0.1681,1.64,0.0,118441000.0,0.0,-0.10369999999999999,Comércio,161603000,SEMP TOSHIBA ON,2008-11-07
SEQL3,6.15,-0.16,0.21,0.208,0.0,0.063,-0.32,-0.2,-0.13,-1.03,-1.34,-1.0277,-1.3395,-0.3527,-1.3709,0.48,7375250.0,593879000.0,0.95,-0.22760000000000002,Serviços Diversos,126460000,SEQUOIA LOG ON NM,2024-08-21
SFSA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,739524000.0,0.0,0.0015,Intermediários Financeiros,0,Sofisa ON N1,1899-12-30
SFSA4,4.4,13.1,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,739524000.0,0.0,0.0015,Intermediários Financeiros,606087000,Sofisa PN N1,2016-11-18
SGEN3,5.0,0.0,0.77,593.76,0.0,0.493,-8.34,-31.73,-2.01,-32.42,-32.42,-18.7117,0.0,-0.0159,0.0,0.65,0.0,156981000.0,0.02,-0.5985,Construção Civil,121375000,SERGEN ON,2011-04-13
SGEN4,0.6,0.0,0.09,71.251,0.0,0.059,-1.0,-3.81,-0.24,-4.5,-4.5,-18.7117,0.0,-0.0159,0.0,0.65,0.0,156981000.0,0.02,-0.5985,Construção Civil,14565000,SERGEN PN,2013-04-04
SGPS3,1.64,-0.02,0.1,0.016,0.0,0.006,-0.02,-0.04,-0.01,-2.1,-2.72,-0.42310000000000003,-0.7723,-0.2014,-4.7013,0.45,24522.6,165504000.0,6.43,-0.0131,"Tecidos, Vestuário e Calçados",16400000,Springs ON NM,2024-08-15
SHOW3,1.16,3127.96,0.48,0.16,0.0,0.174,2.86,3.27,-1.63,2.94,2.44,0.0489,-0.0004,0.0916,0.0002,1.13,278380.0,164583000.0,0.49,0.792,Viagens e Lazer,78199100,TIME FOR FUN ON NM,2024-08-21
SHUL4,6.71,8.86,1.76,1.254,0.055099999999999996,0.926,2.03,10.04,4.35,9.26,7.22,0.1249,0.1414,0.1598,0.1986,2.99,1992550.0,1362740000.0,0.57,0.1959,Máquinas e Equipamentos,2397990000,SCHULZ PN,2024-08-21
SIMH3,6.84,-12.51,1.87,0.165,0.0,0.077,0.84,1.1,-0.13,8.44,5.12,0.1496,-0.016,0.0924,-0.14980000000000002,1.39,22920000.0,3187310000.0,16.27,0.4986,Holdings Diversificadas,5971600000,SIMPAR ON NM,2024-08-21
SJOS3,1.19,1.77,-0.09,34.036,0.0,5.191,-0.09,-10.38,-0.09,-26.57,-26.57,-3.2797,19.1992,0.037200000000000004,-0.050199999999999995,0.02,0.0,-180638000.0,-0.14,-0.6179,"Tecidos, Vestuário e Calçados",16065000,SÃO JOSÉ ON,2010-09-21
SJOS4,0.09,0.13,-0.01,2.574,0.0,0.393,-0.01,-0.78,-0.01,-16.98,-16.98,-3.2797,19.1992,0.037200000000000004,-0.050199999999999995,0.02,0.0,-180638000.0,-0.14,-0.6179,"Tecidos, Vestuário e Calçados",1215000,SÃO JOSÉ PN,2017-03-01
SLCE3,18.0,14.11,1.63,0.994,0.049100000000000005,0.514,3.02,5.3,-2.64,8.15,7.01,0.1875,0.0704,0.1096,0.1155,1.56,38632900.0,4896080000.0,1.1,0.25420000000000004,Agropecuária,7979940000,SLC Agricola ON NM,2024-08-21
SLCP3,610.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,SULACAP ON,2005-05-02
SLED3,3.21,0.45,-0.08,0.416,0.0,0.48,-0.2,-0.44,-0.07,-0.96,-1.18,-0.9381,0.9272,-22.5994,-0.1807,0.12,0.0,-381277000.0,-0.09,-0.4869,Comércio,30928400,EDITORA SARAIVA ON,2023-10-04
SLED4,1.6,0.22,-0.04,0.207,0.0,0.239,-0.1,-0.22,-0.04,-0.74,-0.9,-0.9381,0.9272,-22.5994,-0.1807,0.12,0.0,-381277000.0,-0.09,-0.4869,Comércio,15416000,EDITORA SARAIVA PN,2023-10-04
SMFT3,23.23,15.48,2.55,2.815,0.0232,0.851,9.45,13.01,-1.96,14.9,6.71,0.2164,0.1834,0.0817,0.1648,1.64,63910300.0,5339620000.0,0.9,0.26739999999999997,Viagens e Lazer,13618400000,SMART FIT ON NM,2024-08-21
SMLE3,92.82,18.88,21.91,6.635,0.0,6.477,-124.0,16.5,-42.31,16.32,13.2,0.4022,0.3514,0.4617,1.1604,0.91,0.0,524731000.0,0.0,0.36829999999999996,,11496400000,SMILES ON NM,2017-10-20
SMLS3,22.4,10.78,4.09,4.212,0.0,1.017,18.78,10.37,-6.72,10.13,9.06,0.40619999999999995,0.3907,0.1069,0.3796,1.1,0.0,679678000.0,0.0,-0.222,Diversos,2781160000,SMILES ON NM,2021-06-04
