papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
AALR3,15.5,-8.39,1.68,1.542,0.0,0.681,-11.79,36.07,-1.82,47.61,15.09,0.042800000000000005,-0.1752,0.022099999999999998,-0.2006,0.78,788545.0,1089040000.0,0.77,0.054900000000000004,Serv.Méd.Hospit. Análises e Diagnósticos,1833540000.0,ALLIAR ON NM,2024-08-21
ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,0.0,0.0,6235070000.0,0.0,0.135,Intermediários Financeiros,0,ABC Brasil ON N2,1899-12-30
ABCB4,23.49,6.16,0.92,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,0.0,15914000.0,6235070000.0,0.0,0.135,Intermediários Financeiros,5746990000,ABC Brasil PN N2,2024-08-21
ABEV3,12.94,14.16,2.14,2.529,0.0564,1.422,55.14,11.8,-22.44,11.11,8.19,0.2143,0.18359999999999999,0.1582,0.15109999999999998,1.11,338514000.0,95262800000.0,0.04,0.11560000000000001,Bebidas,203904000000,AMBEV S/A ON,2024-08-21
ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,0.0278,-0.008199999999999999,2.09,0.0,292060000.0,1.31,0.1641,Construção Civil,515088000,ABYARA ON NM,2010-02-11
ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334,Siderurgia e Metalurgia,7080470000,ARCELORMITTAL INOX BRASIL ON,2008-04-18
ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334,Siderurgia e Metalurgia,7040330000,ARCELORMITTAL INOX BRASIL PN,2008-04-24
ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,5.2170000000000005,0.3147,0.0,2064.0,-19776000.0,0.0,0.43479999999999996,,25440500,ADVANCED-DH ON,2020-12-28
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209,Diversos,2720770000,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,2010-12-03
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209,Diversos,8020250000,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA ON NM,2014-07-03
AELP3,1.93,8.49,-200.57,-0.062,0.0,5.216,0.0,-12.58,0.0,-11.94,-11.98,0.0049,-0.0073,0.0,-23.6383,0.0,0.0,-904000.0,0.0,0.0118,Energia Elétrica,181318000,AES ELPA ON,2018-09-05
AERI3,9.23,-5.23,0.52,0.275,0.0,0.157,0.69,3.3,-2.96,6.55,4.38,0.08349999999999999,-0.0526,0.0681,-0.1002,1.54,2037420.0,1094390000.0,1.41,-0.0696,Máquinas e Equipamentos,573369000,AERIS ON NM,2024-08-21
AESB3,11.43,-51.6,1.61,1.92,0.006500000000000001,0.339,-6.87,7.39,-0.59,18.14,8.99,0.26,0.0072,0.0525,-0.0313,0.77,37881700.0,4262700000.0,2.86,0.7684000000000001,Energia Elétrica,6880030000,AES BRASIL ON NM,2024-08-21
AESL3,10081.9,10.96,2.18,1.088,0.0,0.616,73.77,4.56,-1.17,7.68,6.47,0.2386,0.0993,0.1491,0.19870000000000002,1.05,0.0,5210850000.0,1.64,0.0774,Energia Elétrica,11346400000,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. ON,2005-04-06
AFLT3,7.16,16.06,1.87,8.461,0.08130000000000001,1.459,16.37,13.9,34.94,13.15,13.06,0.6087,0.5268,0.1152,0.1165,1.52,2488.77,241397000.0,0.0,0.1425,Energia Elétrica,451689000,AFLUENTE T ON,2024-08-21
AFLU3,5.15,9.15,2.19,2.981,0.0,1.919,9.86,8.52,12.21,7.57,7.24,0.34979999999999994,0.3259,0.3118,0.23929999999999998,3.27,0.0,44270000.0,0.0,0.0861,Energia Elétrica,96912700,AFLUENTE ON,2017-11-22
AFLU5,5.03,8.93,2.14,2.911,0.0,1.875,9.63,8.32,11.92,7.38,7.05,0.34979999999999994,0.3259,0.3118,0.23929999999999998,3.27,0.0,44270000.0,0.0,0.0861,Energia Elétrica,94654500,AFLUENTE PNA,2017-11-23
AGEI3,7.8,0.0,1.25,0.0,0.0,0.47,1.39,0.0,-12.59,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,1878210000.0,1.01,0.0,Construção Civil,2340000000,AGRE EMP IMOB ON NM,2010-06-11
AGEN33,0.16,0.39,-0.03,0.0,0.0,0.066,-0.17,0.11,-0.02,3.73,3.61,0.0,0.0,0.8767,-0.0885,0.09,0.0,-1112630000.0,-1.11,-0.8703,Comércio e Distribuição,38833000,Agrenco DR3,2013-08-05
AGIN3,5.29,8.46,1.23,1.816,0.0,0.565,1.29,10.92,3.55,14.68,14.68,0.1663,0.2183,0.0559,0.1456,2.72,0.0,1028210000.0,0.55,0.44170000000000004,Construção Civil,1265880000,Agra Incorp ON NM,2010-02-11
AGRO3,26.15,11.34,1.37,2.447,0.12279999999999999,0.804,4.31,14.31,-16.36,18.78,12.76,0.171,0.2158,0.06480000000000001,0.1209,2.04,5731140.0,1957410000.0,0.54,0.1174,Agropecuária,2685170000,BRASILAGRO ON NM,2024-08-21
AGXY3,1.3,-0.64,0.47,0.045,0.0,0.051,-0.75,-5.17,-0.21,-21.56,14.91,-0.0086,-0.0697,-0.0192,-0.7276,0.91,981057.0,705136000.0,2.05,0.19510000000000002,Agropecuária,330907000,AGROGALAXY ON NM,2024-08-21
AHEB3,36.0,2.46,2.29,0.476,0.0,0.603,1.66,2.03,-4.3,1.48,1.42,0.2346,0.1937,0.3918,0.932,2.55,2943.79,134277000.0,0.02,0.5036999999999999,Viagens e Lazer,307584000,PARQUE ANHEMBI ON,2024-08-20
AHEB5,35.0,2.39,2.23,0.463,0.0,0.587,1.62,1.97,-4.18,1.43,1.36,0.2346,0.1937,0.3918,0.932,2.55,824.3,134277000.0,0.02,0.5036999999999999,Viagens e Lazer,299040000,PARQUE ANHEMBI PNA,2024-08-20
AHEB6,35.5,2.42,2.26,0.469,0.0,0.595,1.64,2.0,-4.24,1.45,1.39,0.2346,0.1937,0.3918,0.932,2.55,165.12,134277000.0,0.02,0.5036999999999999,Viagens e Lazer,303312000,PARQUE ANHEMBI PNB,2024-08-20
ALBA3,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,-1.27,0.095,0.0962,0.204,0.1977,1.83,0.0,354860000.0,0.03,0.1469,,0,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO ON,2005-07-27
ALLD3,7.68,4.67,0.45,0.127,0.2637,0.198,0.65,4.23,1.51,5.28,3.95,0.03,0.0271,0.0817,0.0966,1.78,679389.0,1596440000.0,0.38,-0.0075,Comércio,720643000,ALLIED ON NM,2024-08-21
ALLL11,16.5,-6.83,0.43,0.489,0.0,0.124,0.97,1.31,-0.27,3.8,1.86,0.3722,-0.0712,0.1159,-0.0626,2.12,0.0,14309300000.0,1.37,0.1577,Transporte,6121070000,RUMO S.A. UNT,2010-10-21
ALLL3,3.97,-8.22,0.51,0.589,0.0,0.15,1.17,1.58,-0.32,4.07,1.99,0.3722,-0.0712,0.1159,-0.0626,2.12,0.0,14309300000.0,1.37,0.1577,Transporte,7363830000,RUMO S.A. ON,2015-03-31
ALLL4,3.32,-6.87,0.43,0.492,0.0,0.125,0.97,1.32,-0.27,3.81,1.86,0.3722,-0.0712,0.1159,-0.0626,2.12,0.0,14309300000.0,1.37,0.1577,Transporte,6158160000,RUMO S.A. PN,2010-10-21
ALOS3,23.34,18.74,0.9,4.647,0.0507,0.461,5.34,9.96,-1.58,7.16,4.8,0.4667,0.2902,0.0533,0.0483,2.06,82881300.0,14003200000.0,0.0,0.34090000000000004,Exploração de Imóveis,12672200000,ALLOS ON,2024-08-21
ALPA3,7.6,-3.32,1.33,1.347,0.0,0.792,2.38,29.35,7.18,30.15,12.94,0.045899999999999996,-0.4065,0.0366,-0.4018,2.82,94888.2,3897330000.0,0.36,0.0398,"Tecidos, Vestuário e Calçados",5191270000,ALPARGATAS ON N1,2024-08-21
ALPA4,8.24,-3.59,1.44,1.461,0.0,0.859,2.58,31.83,7.79,32.62,14.0,0.045899999999999996,-0.4065,0.0366,-0.4018,2.82,23656500.0,3897330000.0,0.36,0.0398,"Tecidos, Vestuário e Calçados",5628430000,ALPARGATAS PN N1,2024-08-21
ALPK3,3.89,-22.21,2.38,0.574,0.0,0.318,-3.86,2.39,-0.47,5.92,3.52,0.2398,-0.0215,0.15990000000000001,-0.107,0.7,493501.0,355256000.0,4.36,0.2967,Serviços Diversos,844223000,ESTAPAR ON NM,2024-08-21
ALSC3,27.75,38.57,2.2,10.717,0.0095,1.202,9.41,19.33,-4.22,17.49,14.08,0.5545,0.293,0.0703,0.056900000000000006,5.39,0.0,2593960000.0,0.0,0.023399999999999997,Exploração de Imóveis,5694240000,ALIANSCE ON NM,2019-08-05
ALUP11,31.28,13.52,1.27,2.851,0.0401,0.329,4.16,4.09,-0.8,7.69,7.19,0.6968000000000001,0.35090000000000005,0.09269999999999999,0.09380000000000001,1.59,27244600.0,7814090000.0,1.6,-0.1344,Energia Elétrica,9914160000,ALUPAR UNT N2,2024-08-21
ALUP3,10.72,13.9,1.3,2.931,0.039,0.339,4.28,4.21,-0.82,7.81,7.29,0.6968000000000001,0.35090000000000005,0.09269999999999999,0.09380000000000001,1.59,96255.0,7814090000.0,1.6,-0.1344,Energia Elétrica,10193100000,ALUPAR ON N2,2024-08-21
ALUP4,10.31,13.37,1.25,2.819,0.0406,0.326,4.11,4.05,-0.79,7.65,7.14,0.6968000000000001,0.35090000000000005,0.09269999999999999,0.09380000000000001,1.59,137252.0,7814090000.0,1.6,-0.1344,Energia Elétrica,9803230000,ALUPAR PN N2,2024-08-21
AMAR3,1.18,-1.16,-4.2,0.453,0.0,0.255,-0.81,-18.25,-0.38,-44.93,9.6,-0.0248,-0.3885,-0.0189,3.6083,0.56,666183.0,-144137000.0,-6.82,-0.11220000000000001,Comércio,605878000,LOJAS MARISA ON NM,2024-08-21
AMBP3,83.95,-44.23,9.25,2.692,0.0,1.064,3.66,13.31,-2.72,18.34,12.61,0.2023,-0.0274,0.11220000000000001,-0.20920000000000002,3.31,174616000.0,1515810000.0,5.81,0.7036,Água e Saneamento,14023200000,AMBIPAR ON NM,2024-08-21
AMBV3,87.0,26.65,8.76,8.045,0.0,5.266,144.35,20.59,-37.8,20.41,18.39,0.3908,0.30760000000000004,0.3243,0.32880000000000004,1.18,0.0,31105700000.0,0.1,0.2173,,272509000000,AMBEV ON,2013-11-08
AMBV4,86.8,26.59,8.74,8.027,0.0,5.253,144.02,20.54,-37.72,20.36,18.35,0.3908,0.30760000000000004,0.3243,0.32880000000000004,1.18,0.0,31105700000.0,0.1,0.2173,,271883000000,AMBEV PN,2013-11-08
AMER3,0.08,-2.27,-0.05,0.107,0.0,0.061,-0.04,-1.0,-0.03,-16.35,-80.62,-0.1073,-0.047,-0.0824,0.0229,0.22,33100200.0,-30359000000.0,-0.97,0.16949999999999998,Comércio,1577480000,AMERICANAS ON,2024-08-21
AMIL3,32.2,-73.28,7.7,1.129,0.0,2.003,-16.95,136.58,-5.43,138.61,50.13,0.0083,-0.015300000000000001,0.0222,-0.1051,0.75,0.0,1532980000.0,1.24,0.2847,Serv.Méd.Hospit. Análises e Diagnósticos,11809200000,AMIL ON NM,2013-05-08
AMPI3,55.0,12.41,2.74,0.247,0.0,0.177,5.68,0.98,-0.68,1.99,1.73,0.2518,0.15109999999999998,0.2122,0.22089999999999999,1.12,0.0,240799000.0,4.48,0.1412,Energia Elétrica,660000000,AMPLA INVEST ON,2012-04-17
ANIM3,3.5,-14.03,0.58,0.371,0.1346,0.145,1.62,1.43,-0.3,5.39,3.52,0.2583,-0.0032,0.1174,-0.041299999999999996,1.69,21449700.0,2437730000.0,2.08,0.3342,Diversos,1413540000,ANIMA ON NM,2024-08-21
APER3,45.87,-32.2,1.98,2.627,0.0,0.996,113.11,14.16,-4.25,15.14,11.37,0.1855,-0.0824,0.0833,-0.061500000000000006,1.03,145080.0,472202000.0,0.4,0.42200000000000004,Previdência e Seguros,935335000,ALPER S.A. ON,2024-08-21
APTI4,3500.0,1.43,0.25,2.453,0.0,0.133,0.35,-13.4,-2.83,-10.5,-17.58,-0.183,1.7207,-0.0116,0.1772,10.08,0.0,263057000.0,0.22,0.075,Agropecuária,66500000,ALIPERTI PN,2018-08-01
ARCE3,54.0,14.01,2.6,2.461,0.0,1.726,11.33,8.89,102.03,9.07,9.07,0.27699999999999997,0.1946,0.22039999999999998,0.1859,1.97,0.0,13495400000.0,0.17,0.48469999999999996,,35153600000,BELGO ON N1,2007-06-18
ARCZ3,3.66,-1.88,1.95,1.096,0.0,0.369,1.53,9.5,-0.84,28.18,28.18,0.11539999999999999,-0.5802,0.0403,-1.0398,2.86,0.0,1934210000.0,3.92,0.0075,Madeira e Papel,3779150000,ARACRUZ CELULOSE SA ON N1,2009-11-17
ARCZ6,3.63,-1.86,1.94,1.087,0.0,0.366,1.52,9.42,-0.84,28.1,28.1,0.11539999999999999,-0.5802,0.0403,-1.0398,2.86,0.0,1934210000.0,3.92,0.0075,Madeira e Papel,3748170000,ARACRUZ CELULOSE SA PNB N1,2009-11-17
ARLA3,2.47,-1.62,-0.45,1.562,0.0,0.323,-0.22,-4.92,-0.21,-16.06,-16.06,-0.3172,-0.9655,-0.1371,0.28,0.1,0.0,-24319000.0,-1.02,-0.4746,,11016200,ARTHUR LANGE ON,2009-09-18
ARLA4,3.38,-2.21,-0.62,2.137,0.0,0.442,-0.31,-6.74,-0.29,-17.87,-17.87,-0.3172,-0.9655,-0.1371,0.28,0.1,0.0,-24319000.0,-1.02,-0.4746,,15074800,ARTHUR LANGE PN,2009-09-17
ARML3,8.95,15.73,2.41,1.996,0.04,0.633,3.59,5.95,-1.7,9.18,6.82,0.33520000000000005,0.12689999999999999,0.1598,0.153,1.93,7272900.0,1288620000.0,2.22,0.5033,Diversos,3101120000,ARMAC ON NM,2024-08-21
ARPS3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.08,-14.08,-0.0492,-0.1159,-0.0664,0.2034,0.91,0.0,-12690000.0,-1.24,-0.1753,,0,DOUAT CIA TEXTIL ON,2002-04-03
ARPS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.08,-14.08,-0.0492,-0.1159,-0.0664,0.2034,0.91,0.0,-12690000.0,-1.24,-0.1753,,0,DOUAT CIA TEXTIL PN,1899-12-30
ARTE3,7.7,-0.04,-0.04,0.0,0.0,0.103,0.0,-0.52,0.0,-15.85,-15.85,0.0,0.0,0.0,1.0290000000000001,0.0,0.0,-33570000.0,0.0,-0.6435,,1216600,KUALA S.A. ON,2006-05-15
ARTE4,6.81,-0.03,-0.03,0.0,0.0,0.091,0.0,-0.46,0.0,-15.79,-15.79,0.0,0.0,0.0,1.0290000000000001,0.0,0.0,-33570000.0,0.0,-0.6435,,1075980,KUALA S.A. PN,2006-06-26
ARTR3,10.01,-36.51,1.21,0.849,0.0,0.261,6.19,3.42,-0.4,10.37,6.17,0.2487,-0.0233,0.0882,-0.0332,1.43,0.0,4746520000.0,3.04,0.1191,Transporte,5754540000,ARTERIS ON,2016-06-16
ASAI3,9.87,20.07,2.76,0.189,0.0,0.303,-4.32,2.66,-0.57,5.18,3.94,0.071,0.009399999999999999,0.1752,0.1378,0.84,150638000.0,4827000000.0,3.67,0.3375,Comércio e Distribuição,13345100000,ASSAI ON NM,2024-08-21
ASSM3,7.12,0.33,-0.17,-9.754,0.0,0.155,-0.23,0.47,-0.09,1.95,1.95,-20.843899999999998,-29.156100000000002,0.3538,-0.5073,0.21,0.0,-9943000.0,-0.56,-0.08789999999999999,,1687440,HOTEIS ELDORADO ON,2007-07-20
ASSM4,6.1,0.29,-0.15,-8.357,0.0,0.133,-0.2,0.4,-0.08,1.88,1.88,-20.843899999999998,-29.156100000000002,0.3538,-0.5073,0.21,0.0,-9943000.0,-0.56,-0.08789999999999999,,1445700,HOTEIS ELDORADO PN,2006-09-26
ASTA4,25.83,-30.79,1.0,0.652,0.0,0.446,2.57,19.9,-3.3,33.2,33.2,0.032799999999999996,-0.0212,0.0252,-0.0325,1.71,0.0,515672000.0,0.85,-0.0473,,516600000,SANTISTA TÊXTIL S.A. PN,2007-11-26
ATMP3,1.35,0.15,0.09,0.107,0.0,0.028,-0.63,-0.46,-0.06,-2.69,87.04,-0.2324,0.7154,-0.0652,0.612,0.85,29323.4,394768000.0,0.62,-0.2334,Serviços Diversos,36058500,ATMASA ON,2024-08-21
ATOM3,2.08,2.66,1.3,1.909,0.0,0.972,3.06,40.92,6.31,35.0,22.93,0.0466,0.7609,0.0279,0.48950000000000005,9.35,19063.0,38072000.0,0.0,0.0387,Outros,49514400,ATOMPAR ON,2024-08-21
AURA33,19.09,-24.19,3.01,1.652,0.053399999999999996,0.846,6.63,5.97,-2.34,7.11,7.11,0.2768,-0.0683,0.2047,-0.1242,1.55,4231330.0,1379760000.0,1.35,0.08869999999999999,Mineração,4146260000,AURA 360 DR3,2024-08-21
AURE3,11.53,-29.88,0.94,1.866,0.1648,0.394,2.66,13.41,-1.2,17.26,9.85,0.1392,-0.0625,0.0361,-0.0313,2.45,35980800.0,12315500000.0,0.67,0.2455,Energia Elétrica,11530000000,AUREN ON NM,2024-08-21
AUTM3,19.7,20.0,1.9,0.709,0.0,0.547,4.08,6.78,-2.42,8.22,8.99,0.1047,0.0431,0.1193,0.095,1.48,0.0,1304250000.0,0.97,0.2821,Material de Transporte,2477650000,AUTOMETAL ON NM,2014-10-13
AVIL3,0.93,12.97,4.16,2.338,0.0,2.227,3.89,10.0,9.02,9.4,9.4,0.23379999999999998,0.1801,0.40990000000000004,0.32030000000000003,5.14,0.0,1106590000.0,0.52,0.0174,Siderurgia e Metalurgia,4598210000,ACOS VILLARES ON,2011-02-04
AVLL3,3.95,-3.34,-10.24,1.41,0.0,0.543,-4.51,6.78,-0.83,9.33,9.2,0.2079,-0.4069,0.1067,3.0637,0.76,43722.5,-75358000.0,-7.75,0.2034,Construção Civil,771554000,ALPHAVILLE ON NM,2024-08-21
AZEV3,1.44,-1.61,0.97,1.224,0.0,0.392,-1.47,-2.33,-1.06,-2.61,-3.98,-0.5254,-0.7585,-0.1946,-0.5991,0.46,1130820.0,278841000.0,0.13,3.0873000000000004,Construção e Engenharia,269520000,AZEVEDO & TRAVASSOS ON,2024-08-21
AZEV4,1.41,-1.58,0.95,1.198,0.0,0.384,-1.44,-2.28,-1.04,-2.57,-3.91,-0.5254,-0.7585,-0.1946,-0.5991,0.46,7063190.0,278841000.0,0.13,3.0873000000000004,Construção e Engenharia,263905000,AZEVEDO & TRAVASSOS PN,2024-08-21
AZUL4,7.78,-0.42,-0.1,0.145,0.0,0.119,-0.22,1.01,-0.06,11.85,6.21,0.1435,-0.3475,0.1475,0.248,0.28,136969000.0,-26166600000.0,-1.17,0.2734,Transporte,2708510000,AZUL PN,2024-08-21
AZZA3,51.77,24.4,3.48,2.088,0.0169,1.781,12.46,20.41,-149.53,21.65,14.86,0.1023,0.0848,0.1116,0.1427,1.43,76207000.0,3069790000.0,0.39,0.3934,Comércio,10690000000,AZZAS 2154 ON,2024-08-21
B3SA3,12.96,17.18,3.76,7.063,0.032799999999999996,1.548,10.38,12.98,-6.82,12.55,10.74,0.5440999999999999,0.4111,0.1783,0.2188,1.7,402626000.0,19117100000.0,0.67,0.062400000000000004,Serviços Financeiros Diversos,71882600000,B3 ON,2024-08-21
BAHI11,2.0,-9.57,0.57,0.145,0.0,0.096,-0.39,-7.01,-0.13,-20.68,16.12,-0.0207,-0.011899999999999999,-0.014199999999999999,-0.0592,0.21,0.0,93107000.0,1.22,0.3091,Diversos,52781200,BAHEMA PRB,2022-03-28
BAHI3,7.22,-34.56,2.05,0.524,0.0,0.348,-1.41,-25.32,-0.45,-38.99,30.39,-0.0207,-0.011899999999999999,-0.014199999999999999,-0.0592,0.21,18131.7,93107000.0,1.22,0.3091,Diversos,190540000,BAHEMA ON,2024-08-21
BAHI4,86.0,-411.61,24.38,6.24,0.0,4.149,-16.79,-301.61,-5.42,-315.28,245.72,-0.0207,-0.011899999999999999,-0.014199999999999999,-0.0592,0.21,0.0,93107000.0,1.22,0.3091,Diversos,2269590000,BAHEMA PN,2009-07-02
BAHI5,65.0,-311.1,18.42,4.716,0.0,3.136,-12.69,-227.96,-4.09,-241.63,188.32,-0.0207,-0.011899999999999999,-0.014199999999999999,-0.0592,0.21,0.0,93107000.0,1.22,0.3091,Diversos,1715390000,BAHEMA PNA,2006-09-22
BALM3,12.5,8.92,0.78,0.738,0.0621,0.465,1.02,5.78,1.49,3.6,2.91,0.1278,0.0724,0.11320000000000001,0.087,2.74,280.84,157918000.0,0.12,0.0371,Equipamentos,122500000,BAUMER ON,2024-08-21
BALM4,10.8,7.7,0.67,0.637,0.0719,0.402,0.88,4.99,1.29,2.81,2.28,0.1278,0.0724,0.11320000000000001,0.087,2.74,4407.33,157918000.0,0.12,0.0371,Equipamentos,105840000,BAUMER PN,2024-08-21
BAUH4,78.89,18.84,3.62,1.781,0.0104,2.38,18.53,24.0,22.71,22.04,16.48,0.0742,0.09449999999999999,0.1724,0.19210000000000002,1.4,4199.37,113812000.0,0.01,0.0635,Alimentos Processados,411964000,EXCELSIOR PN,2024-08-12
BAZA3,95.4,4.06,0.83,0.0,0.0693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,273278.0,6461360000.0,0.0,0.1884,Intermediários Financeiros,5347930000,BANCO DA AMAZONIA S.A. ON,2024-08-21
BBAS3,29.13,4.79,0.97,0.0,0.08560000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027,0.0,424148000.0,171885000000.0,0.0,0.30510000000000004,Intermediários Financeiros,166939000000,BANCO DO BRASIL S.A. ON,2024-08-21
BBDC3,14.04,9.8,0.93,0.0,0.0849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953,0.0,83440400.0,160086000000.0,0.0,-0.228,Intermediários Financeiros,149416000000,BANCO BRADESCO S.A. ON N1,2024-08-21
BBDC4,15.63,10.91,1.04,0.0,0.0839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953,0.0,491363000.0,160086000000.0,0.0,-0.228,Intermediários Financeiros,166337000000,BANCO BRADESCO S.A. PN N1,2024-08-21
BBSE3,36.07,8.6,7.17,0.0,0.0735,3.793,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.8337,0.0,154169000.0,10061700000.0,0.0,0.0,Previdência e Seguros,72140000000,BBSEGURIDADE ON NM,2024-08-21
BBTG11,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intermediários Financeiros,0,BTG PACTUAL UNITS UNT,2017-08-18
BBTG12,3.15,0.0,29554.0,0.0,0.0,507.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,,265986000,BTG PACTUAL DR3 B,2017-09-08
BBTG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,,0,BTG PACTUAL DR3 A,1899-12-30
BCAL6,0.28,-1.7,-0.07,1.946,0.0,13.03,-0.09,38.77,-0.07,452.65,452.65,0.050199999999999995,-1.1449,0.3897,0.040999999999999995,0.01,0.0,-290863000.0,-0.74,0.3774,,20274800,PRO METALURG PNB,2008-09-03
BDLL3,13.01,0.24,-0.09,1.103,0.0,0.038,-0.09,-0.62,-0.04,-5.57,-5.94,-1.7801,4.5139,-0.06509999999999999,-0.3836,0.53,60.51,-222010000.0,-0.83,-0.0311,Máquinas e Equipamentos,20816000,BARDELLA ON,2024-08-05
BDLL4,9.09,0.17,-0.07,0.771,0.0,0.026,-0.07,-0.43,-0.03,-5.39,-5.74,-1.7801,4.5139,-0.06509999999999999,-0.3836,0.53,939.16,-222010000.0,-0.83,-0.0311,Máquinas e Equipamentos,14544000,BARDELLA PN,2024-08-15
BECE3,9.1,-3.42,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.552,0.0,0.0,96496000.0,0.0,0.1281,,841468000,BEC ON,2006-05-30
BECE4,8.75,-3.29,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.552,0.0,0.0,96496000.0,0.0,0.1281,,809104000,BEC PN,2006-04-19
BEEF3,7.9,67.8,7.16,0.171,0.0,0.138,0.37,2.3,-0.47,6.9,5.47,0.0742,0.0025,0.1475,0.1057,2.22,47575700.0,669700000.0,38.95,0.11960000000000001,Alimentos Processados,4797540000,Minerva ON NM,2024-08-21
BEES3,9.06,8.09,1.27,0.0,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.0,129684.0,2250870000.0,0.0,0.12179999999999999,Intermediários Financeiros,2862170000,BANESTES S/A ON,2024-08-21
BEES4,9.77,8.72,1.37,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.0,36379.7,2250870000.0,0.0,0.12179999999999999,Intermediários Financeiros,3086470000,BANESTES S/A PN,2024-08-21
BELG3,1375.5,0.36,0.07,0.063,0.0,0.044,0.29,0.23,2.6,0.41,0.41,0.27699999999999997,0.1946,0.22039999999999998,0.1859,1.97,0.0,13495400000.0,0.17,0.48469999999999996,,895441000,BELGO ON,2005-12-22
BELG4,1370.0,0.36,0.07,0.062,0.0,0.044,0.29,0.23,2.59,0.4,0.4,0.27699999999999997,0.1946,0.22039999999999998,0.1859,1.97,0.0,13495400000.0,0.17,0.48469999999999996,,891860000,BELGO PN,2005-11-10
BEMA3,10.8,15.32,1.22,1.293,0.0,0.808,3.18,14.34,11.45,14.43,8.11,0.0901,0.08439999999999999,0.0696,0.0795,2.66,0.0,457342000.0,0.19,0.1058,Computadores e Equipamentos,556934000,Bematech ON NM,2015-10-27
BERG3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49,-10.49,-0.086,-0.326,-0.0558,-1.0271,0.46,0.0,9538000.0,2.86,-0.08,,0,BERGAMO ON,1999-04-15
BESP3,330.0,10.38,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.0,0.0,5183100000.0,0.0,0.0183,,12786800000,BANESPA ON,2007-04-02
BESP4,344.0,10.82,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.0,0.0,5183100000.0,0.0,0.0183,,13329300000,BANESPA PN,2007-04-02
